id,tweet,cleaned_tweet,subtask_a,subtask_b,subtask_c
86426,@USER She should ask a few native Americans what their take on this is.,ask native americans take,OFF,UNT,
90194,@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,go home drunk maga trump 2020,OFF,TIN,IND
16820,Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT,amazon investigating chinese employees selling internal data third party sellers looking edge competitive marketplace amazon maga kag china tcot,NOT,,
62688,"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",someone vetaken piece shit volcano,OFF,UNT,
43605,@USER @USER Obama wanted liberals &amp; illegals to move into red states,obama wanted liberals illegals move red states,NOT,,
97670,@USER Liberals are all Kookoo !!!,liberals kookoo,OFF,TIN,OTH
77444,@USER @USER Oh noes! Tough shit.,oh noes tough shit,OFF,UNT,
52415,@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,literally talking lol mass shootings like set ups propaganda used divide us major issues like gun control terrorism,OFF,TIN,GRP
45157,@USER Buy more icecream!!!,buy icecream,NOT,,
13384,@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,canada need another cuck already enough looneyleft liberals f king great country qproofs trudeaumustgo,OFF,TIN,IND
82776,@USER @USER @USER It’s not my fault you support gun control,fault support gun control,NOT,,
42992,@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL,difference kavanaugh one men admitted groping 15 year old girl years ago going confirmed scj demsarefrauds demsaredone walkawaydemocrats 2018 redwave voteredsaveamerica trumptrain maga,NOT,,
28414,@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,lying corrupt traitor nobody wants hear anymore lies deepstatecorruption,OFF,TIN,IND
54920,@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!,scare every american playing hockey warped puck,NOT,,
